BeAvg	AfAvg	EditorId	IssnId
0.7	0.6	8	8
0.5714285714285714	0.1	162	8
0.1	0.1	391	8
0.6	0.7	751	8
0.3333333333333333	0.3	1013	8
0.5714285714285714	0.2	1118	8
0.5	0.2	1204	8
0.3	0.3	1554	8
0.1428571428571428	0.2	1669	8
0.2	0.0	1670	8
0.2	0.2	2034	8
0.125	0.0	2323	8
0.25	0.2	2723	8
0.1	0.1	2850	8
0.3	0.0	3344	8
0.6666666666666666	0.0	4154	8
0.25	0.2	4277	8
0.3333333333333333	0.2	4305	8
0.5	0.2	4369	8
0.2	0.1	4549	8
0.3	0.5	4870	8
0.3	1.1	5050	8
0.1	0.0	5659	8
0.1	0.3	5674	8
0.5	0.1	5848	8
0.1	0.3	5906	8
0.4	0.1	6367	8
0.3	0.0	6659	8
0.1	0.3	6806	8
0.5	0.3	6974	8
0.3	0.3	7117	8
0.2	0.2	7820	8
0.3	0.3	8143	8
0.5	0.4	8722	8
1.1666666666666667	0.1	9230	8
0.2	0.2	9276	8
0.1	0.1	9699	8
0.5	0.1	11089	8
0.2	0.0	11148	8
0.2	0.1	12757	8
0.125	0.2	13008	8
0.2	0.0	14185	8
0.4285714285714285	0.3	14495	8
0.4	0.4	14631	8
0.3	0.3	15020	8
0.1	0.5	15208	8
0.2	0.5	15349	8
0.2	0.0	16898	8
0.5	0.2	17240	8
0.2	0.1	17278	8
0.1	0.0	17844	8
0.2	0.2	18420	8
1.0	0.4	18654	8
0.0	0.2	909	8
0.0	0.7	3011	8
0.0	0.3	8667	8
0.0	0.0	9557	8
0.0	0.2	10491	8
0.0	0.5	10924	8
0.0	0.1	12361	8
0.0	0.1	14162	8
0.0	0.2	14774	8
0.0	0.2	18351	8
0.0	0.0	2593	8
0.0	0.0	6105	8
0.0	0.0	8310	8
0.0	0.0	10174	8
0.3	0.0	12	12
0.7	0.0	2006	12
0.1	0.1	2867	12
0.1	0.0	5821	12
0.1	0.0	6407	12
0.2	0.0	6733	12
0.1	0.0	7032	12
0.2	0.2	7183	12
0.5	0.1111111111111111	7386	12
0.5	0.1	10131	12
0.1	0.0	14365	12
0.2	0.1	17239	12
0.4	0.2	17991	12
0.1	0.0	18074	12
0.1	0.1	18427	12
0.4	0.0	18433	12
0.1	0.1	18629	12
0.1	0.0	18703	12
0.1	0.1	19276	12
0.3	0.0	19470	12
0.0	0.1	19153	12
0.0	0.0	344	12
0.0	0.0	16135	12
0.0	0.0	19067	12
0.3333333333333333	0.1	14	14
0.1	0.0	296	14
0.1	0.0	572	14
0.2	0.6	641	14
0.3	0.3	697	14
0.0	0.0	725	14
0.1	0.1111111111111111	826	14
0.6	0.6	883	14
0.2	0.3	938	14
0.0	0.0	1340	14
0.1	0.0	1396	14
0.1	0.1	1798	14
0.1	0.2	2214	14
0.2	0.0	2298	14
0.4	0.3	2660	14
0.1	0.1	2912	14
0.2	0.5	2934	14
0.2	0.7	3345	14
0.1	0.0	3417	14
0.0	0.0	4402	14
0.1	0.0	4612	14
0.6	2.3	5969	14
0.1	0.0	6441	14
0.3	0.1	7713	14
0.1	0.0	7869	14
0.4	0.0	7944	14
0.4	0.2	8156	14
0.1	0.1	8375	14
0.5	0.1	8581	14
0.2	0.4	8619	14
0.3	0.6	8633	14
0.2	0.5	8774	14
0.2	0.0	8801	14
0.1	0.5	9037	14
0.1	0.4	9649	14
0.1	0.0	10040	14
0.2	0.3	10965	14
0.1	0.0	11030	14
0.2	0.1	11662	14
0.5	0.3	12581	14
0.5	0.7	12617	14
0.4285714285714285	0.2	13011	14
0.1	0.0	13163	14
0.1	0.1	17761	14
0.1	0.0	17979	14
0.2	0.0	19730	14
0.0	0.3	258	14
0.0	0.1	1499	14
0.0	0.1	1966	14
0.0	0.2	2732	14
0.0	0.3333333333333333	3086	14
0.0	0.3	4210	14
0.0	0.1111111111111111	4400	14
0.0	0.1	8929	14
0.0	0.0	9236	14
0.0	0.125	9620	14
0.0	0.1	13350	14
0.0	0.0	591	14
0.0	0.0	7289	14
0.0	0.0	8206	14
0.0	0.0	8332	14
0.0	0.0	9320	14
0.0	0.0	12888	14
0.0	0.0	13906	14
0.0	0.0	14582	14
0.0	0.0	18435	14
0.0	0.0	19222	14
0.7	0.5	21	21
0.1428571428571428	0.1	2270	21
0.1	0.1	3065	21
0.1111111111111111	0.1	3352	21
0.4	0.1	3972	21
0.3	0.3	3992	21
0.1	0.2	7280	21
0.8	0.4	9419	21
0.2	0.0	10831	21
0.4	0.1	12141	21
0.1	0.0	12278	21
0.1	0.0	12338	21
0.1	0.2	12528	21
0.5	0.1	12594	21
0.4444444444444444	0.3	13488	21
0.1	0.0	15246	21
0.1	0.2	15660	21
0.3	0.2	16197	21
0.4	0.9	16531	21
0.4	0.8	18652	21
0.0	0.1	19105	21
0.2857142857142857	0.9	19738	21
0.0	0.1	4953	21
0.0	0.2	9522	21
0.0	0.1	9713	21
0.0	0.2	10710	21
0.0	0.0	2802	21
0.0	0.0	6619	21
0.0	0.0	8547	21
0.0	0.0	8855	21
0.0	0.0	9979	21
0.0	0.0	11140	21
0.0	0.0	11372	21
0.0	0.0	11667	21
0.0	0.0	11898	21
0.0	0.0	11925	21
0.0	0.0	16293	21
0.0	0.0	17037	21
0.0	0.0	19648	21
0.25	0.3	35	35
0.5	0.0	2708	35
0.3	0.4	2980	35
0.2	0.6	5042	35
0.0	0.0	8567	35
0.1	0.5	13540	35
0.0	0.1	1657	35
0.0	0.2	17007	35
0.0	0.0	1560	35
0.0	0.0	5275	35
0.6	0.9	44	44
0.2	0.2	4419	44
0.2857142857142857	0.1	6689	44
0.1	0.0	7581	44
0.3	0.2222222222222222	10940	44
0.2857142857142857	0.25	10982	44
0.1	0.0	16965	44
0.1	0.0	17315	44
0.0	0.25	1887	44
0.0	0.0	3918	44
0.0	0.2	5070	44
0.0	0.3	7095	44
0.0	0.2	7770	44
0.0	0.0	9563	44
0.0	0.1	10547	44
0.0	0.3	10642	44
0.0	0.3	13178	44
0.0	0.0	1248	44
0.0	0.0	3370	44
0.0	0.0	4188	44
0.0	0.0	5742	44
0.0	0.0	5746	44
0.0	0.0	5951	44
0.0	0.0	6764	44
0.0	0.0	7290	44
0.0	0.0	9252	44
0.0	0.0	10605	44
0.0	0.0	12484	44
0.0	0.0	13765	44
0.7	0.9	55	4
0.4	1.2	5401	4
0.1	0.3	7551	4
0.1	0.0	7608	4
0.2	0.5	8665	4
0.5	1.0	8898	4
2.0	0.4	11219	4
0.1	0.0	14056	4
1.3333333333333333	0.7	15203	4
0.2	0.2	18383	4
0.0	0.0	8815	4
0.0	0.9	13657	4
0.0	0.1111111111111111	13685	4
0.9	0.1	61	61
0.0	0.2	259	61
0.1666666666666666	0.2	2741	61
0.4	0.1	2886	61
0.4	0.1	5761	61
0.3	0.2	7439	61
0.7	0.4	8545	61
0.1	0.1	8909	61
0.1	0.0	13997	61
2.4	0.0	17699	61
0.0	0.2	345	61
0.0	0.2	9876	61
0.0	0.0	18799	61
0.0	0.0	2709	61
0.0	0.0	3480	61
0.0	0.0	4993	61
0.0	0.0	5459	61
0.0	0.0	10202	61
0.0	0.0	12180	61
0.0	0.0	17021	61
0.5	0.3	66	66
0.2	0.6	497	66
0.5	0.1	3758	66
0.3	0.1	4738	66
0.3	0.5	6844	66
0.1	0.0	7054	66
0.1	0.1	7674	66
0.3	0.1	8450	66
0.3	0.1	10601	66
0.3	0.4	11384	66
0.4	0.0	14336	66
0.2	0.7	16704	66
0.2	0.5	17505	66
0.1	0.0	18707	66
0.1	0.0	19457	66
0.0	0.3	3197	66
0.0	0.2	3874	66
0.0	0.6	7789	66
0.0	0.0	13439	66
0.0	0.0	18242	66
0.4	0.7	70	70
